bigg_id	name	old_bigg_ids	inchikey
12dgr120_c	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	12dgr120; 12dgr120[c]; 12dgr120_c; _12dgr120_c	
12dgr140_c	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	12dgr140; 12dgr140[c]; 12dgr140_c; _12dgr140_c	
12dgr180_c	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	12dgr180; 12dgr180[c]; 12dgr180_c; _12dgr180_c	
14glucan_c	1,4-alpha-D-glucan	14glucan; 14glucan_c	WQZGKKKJIJFFOK-DVKNGEFBSA-N
15dap_c	1,5-Diaminopentane	15dap; 15dap[c]; 15dap_c	VHRGRCVQAFMJIZ-UHFFFAOYSA-P
23ddhb_c	2,3-Dihydro-2,3-dihydroxybenzoate	23ddhb; 23ddhb_c	INCSWYKICIYAHB-WDSKDSINSA-M
23dhba_c	(2,3-Dihydroxybenzoyl)adenylate	23dhba; 23dhba_c	ULPVJDOMCRTJSN-RVXWVPLUSA-M
23dhbzs_c	2,3-dihydroxybenzoylserine	23dhbzs; 23dhbzs_c	VDTYHTVHFIIEIL-LURJTMIESA-M
26dap_LL_c	LL-2,6-Diaminoheptanedioate	26dap-LL[c]; 26dap_DASH_LL_c; 26dap_LL; 26dap_LL[c]; 26dap_LL_c; 26dap__LL_c; _26dap_LL_c	GMKMEZVLHJARHF-WHFBIAKZSA-N
2agpe141_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	2agpe141; 2agpe141_c; _2agpe141_c	
2agpe160_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	2agpe160; 2agpe160_c; _2agpe160_c	CKPBBEOJHAPPBT-HXUWFJFHSA-N
2agpg120_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	2agpg120; 2agpg120_c; _2agpg120_c	
2agpg140_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	2agpg140; 2agpg140_c; _2agpg140_c	NHYJQQUDLXESED-UHFFFAOYSA-M
2aobut_c	L-2-Amino-3-oxobutanoate	2aobut; 2aobut[c]; 2aobut_c	SAUCHDKDCUROAO-VKHMYHEASA-N
2dh3dgal6p_c	2-Dehydro-3-deoxy-D-galactonate 6-phosphate	2dh3dgal6p; 2dh3dgal6p_c	OVPRPPOVAXRCED-NQXXGFSBSA-K
2dhp_c	2-Dehydropantoate	2dhp; 2dhp[c]; 2dhp_c; _2dhp_c	PKVVTUWHANFMQC-UHFFFAOYSA-M
2dmmql8_c	2-Demethylmenaquinol 8	2dmmql8; 2dmmql8[c]; 2dmmql8_c; _2dmmql8_c	FGYPGICSXJEKCG-AENDIINCSA-N
2h3oppan_c	2-Hydroxy-3-oxopropanoate	2h3oppan; 2h3oppan[c]; 2h3oppan_c	QWBAFPFNGRFSFB-UHFFFAOYSA-M
2hdecg3p_c	2-hexadecanoyl-sn-glycerol 3-phosphate	2hdecg3p; 2hdecg3p_c	LPQBQFLKBCPNAV-GOSISDBHSA-L
2odecg3p_c	2-octadecanoyl-sn-glycerol 3-phosphate	2odecg3p; 2odecg3p_c	RPAOEHFOGLEBTJ-HXUWFJFHSA-L
2ohph_c	2-Octaprenyl-6-hydroxyphenol	2ohph; 2ohph_c	YGTMSXVYLRCOLD-MGDAWYEDSA-N
2ombzl_c	2-Octaprenyl-6-methoxy-1,4-benzoquinol	2ombzl; 2ombzl_c	CZFRMASEEPTBAQ-MYCGWMCTSA-N
2omph_c	2-Octaprenyl-6-methoxyphenol	2omph; 2omph_c	MYNOBJRQIKYBRD-MGHGRUFNSA-N
2oph_c	2-Octaprenylphenol	2oph; 2oph_c	VUNQJPPPTJIREN-CMAXTTDKSA-N
2pglyc_c	2-Phosphoglycolate	2pglyc; 2pglyc[c]; 2pglyc_c	ASCFNMCAHFUBCO-UHFFFAOYSA-K
35cgmp_c	3',5'-Cyclic GMP	35cgmp; 35cgmp[c]; 35cgmp_c	ZOOGRGPOEVQQDX-UUOKFMHZSA-M
